lat,lon,uid,aqi,name,time
51.12009,-0.0252,-129121,17,Turners Hill Road,2023-08-09T04:28:05+09:00
51.142082,-0.194181,14624,21,"Reigate and Banstead - Poles Lane, United Kingdom",2023-08-09T03:00:00+09:00
51.462839,-2.584482,8917,15,"Bristol St Paul's, United Kingdom",2023-08-09T02:00:00+09:00
54.97825,-1.610528,3198,23,"Newcastle Centre, United Kingdom",2023-08-09T02:00:00+09:00
53.18019,-6.800826,13396,5,"Newbridge, Co. Kildare, Ireland",2023-08-09T04:00:00+09:00
52.090561,-7.620018,13381,3,"Dungarvan, Co. Waterford, Ireland",2023-08-09T04:00:00+09:00
52.5302193,-7.1379192,14656,9,"Thomastown, Co. Kilkenny, Ireland",2023-08-09T04:00:00+09:00
51.434662706056,0.06422246717047,14616,8,"Greenwich - Fiveways Sidcup Rd A20, United Kingdom",2023-08-09T01:00:00+09:00
51.410039,-0.127523,8923,17,"Croydon - Norbury Manor, United Kingdom",2023-08-09T03:00:00+09:00
51.379312,-0.281259,14619,53,"Kingston Upon Thames - Tolworth Broadway, United Kingdom",2023-08-09T02:00:00+09:00
55.818357,-4.081839,8047,11,"South Lanarkshire Uddingston, United Kingdom",2023-08-09T03:00:00+09:00
56.11472,-3.932178,6024,7,"Stirling Craig's Roundabout, United Kingdom",2023-08-09T02:00:00+09:00
55.607469,-4.497986,5976,11,"E Ayrshire Kilmarnock St Marnock St, United Kingdom",2023-08-09T03:00:00+09:00
55.002818,-7.331179,8914,22,"Derry Rosemount, United Kingdom",2023-08-09T02:00:00+09:00
51.5993,-0.068218,3179,30,"Haringey Roadside, United Kingdom",2023-08-09T01:00:00+09:00
54.88361,-1.406878,3217,21,"Sunderland Silksworth, United Kingdom",2023-08-09T02:00:00+09:00
53.285833000178,-6.1319440004234,13380,18,"Dun Laoghaire, Ireland",2023-08-09T02:00:00+09:00
53.33,-6.288,-354841,69,Aughavanagh Road,2023-08-09T04:27:32+09:00
53.218113,-6.659089,14655,15,"Naas, Co. Kildare, Ireland",2023-08-09T02:00:00+09:00
54.24634,-6.961403,13391,7,"Monaghan Town, Ireland",2023-08-09T04:00:00+09:00
52.498500000107,-6.5707499997314,13382,11,"Enniscorthy, Co. Wexford, Ireland",2023-08-09T03:00:00+09:00
53.368793999948,-6.1726370000744,13404,15,"St. Anne's Park, Dublin 5, Ireland",2023-08-09T02:00:00+09:00
50.694352777777,1.5765724414782,6249,24,"Outreau, Nord-Pas-de-Calais, France",2023-08-09T03:00:00+09:00
51.48879,-0.441614,3191,11,"London Harlington, United Kingdom",2023-08-09T02:00:00+09:00
53.46008,-2.472056,9080,26,"Glazebury, United Kingdom",2023-08-09T02:00:00+09:00
55.945589,-3.182186,3176,23,"Edinburgh St Leonards, United Kingdom",2023-08-09T02:00:00+09:00
56.018951,-3.721013,5989,88,"Falkirk Grangemouth MC, United Kingdom",2023-08-09T02:00:00+09:00
55.836256,-4.270768,6002,26,"Glasgow Nithsdale Road, United Kingdom",2023-08-09T01:00:00+09:00
53.38928,-2.615358,3219,25,"Warrington, United Kingdom",2023-08-09T02:00:00+09:00
54.569297,-1.220874,3197,24,"Middlesbrough, United Kingdom",2023-08-09T02:00:00+09:00
54.516667,-1.358547,3214,21,"Stockton-on-Tees Eaglescliffe, United Kingdom",2023-08-09T01:00:00+09:00
56.117343,-3.791818,8668,8,"Alloa A907, United Kingdom",2023-08-09T03:00:00+09:00
55.991087,-3.941685,5990,9,"Falkirk Haggs, United Kingdom",2023-08-09T02:00:00+09:00
51.45617,0.634889,3207,19,"Rochester Stoke, United Kingdom",2023-08-09T02:00:00+09:00
