lat,lon,uid,aqi,name,time,date
0.5070677,101.4477793,8288,74,"Pekanbaru, Indonesia",03:00:00,11/08/2023
22.5367507,88.3638022,12746,159,"Ballygunge, Kolkata, India",01:30:00,11/08/2023
21.613267,73.010555,11843,52,"GIDC, Ankleshwar, India",02:30:00,11/08/2023
32.6689873,-94.1674569,221,52,"Karnack, Tyler, Texas",01:00:00,11/08/2023
57.28,27.07,-212278,7,Dārziņi,03:26:31,11/08/2023
-38.15588,146.7842,12685,63,Rosedale,03:00:00,11/08/2023
55.7296619,21.9292986,3320,31,"Zemaitija, Lithuania",01:00:00,11/08/2023
54.12,-4.71,-379345,52,Earystane Road,03:24:30,11/08/2023
36.0464,103.831,1407,114,"Railway Design Institute, Lanzhou (兰州铁路设计院)",02:00:00,11/08/2023
45.7319,126.685,1284,82,"Xiangfang Hongqi Street, Haerbin (哈尔滨香坊红旗大街)",02:00:00,11/08/2023
23.243639,72.68994,13731,188,"IIPHG Lekawada, Gandhinagar, India",02:30:00,11/08/2023
36.99678539,-1.89535276,8436,41,"Pza. Del Castillo, Carboneras, Spain",01:00:00,11/08/2023
-41.27822953,173.2735265,11971,59,"Nelson South Nelson At St Vincent St, New Zealand",02:00:00,11/08/2023
43.925395,4.265812,8569,49,"Périphérie de Nîmes, LangedocRoussillon, France",01:00:00,11/08/2023
47.8515,88.1267,7249,52,"City Station, Altay (阿勒泰地区市站)",02:00:00,11/08/2023
66.312191,14.149923,12698,11,"Moheia vest, Mo i Rana, Norway",01:00:00,11/08/2023
39.9233,-77.3081,5886,55,"Arendtsville, Pennsylvania, USA",00:00:00,11/08/2023
38.656449,-90.198548,7350,42,"Blair Street, Missouri, USA",02:00:00,11/08/2023
46.142317,-60.172575,8859,12,"Sydney, Nova Scotia, Canada",02:00:00,11/08/2023
6.376,-10.782,-191875,38,Duala,03:26:14,11/08/2023
29.6588,90.9798,1388,53,"District radiation station, Lhasa (拉萨区辐射站)",02:00:00,11/08/2023
43.945944,-78.894917,21,53,"Oshawa, Ontario, Canada",02:00:00,11/08/2023
46.804,134.252,-124039,6,Лесная улица,03:25:59,11/08/2023
41.388931,33.778023,4127,65,"Kastamonu, Turkey",03:00:00,11/08/2023
40.127,116.655,462,156,"Shunyi New Town , Beijing (顺义新城)",03:00:00,11/08/2023
